order_id,customer_name,amount,order_date,status_x,payment_id,amount_received,payment_date,status_y,_merge,exception_type,impact_amount
ORD1061,Arjun,4346.42,2026-08-02,placed,,,,,left_only,missing_payment,4346.42
ORD1064,Diya,4336.03,2026-08-08,placed,,,,,left_only,missing_payment,4336.03
ORD1062,Vivaan,3336.59,2026-08-21,placed,,,,,left_only,missing_payment,3336.59
ORD1066,Ishaan,2225.03,2026-08-09,placed,,,,,left_only,missing_payment,2225.03
ORD1075,Aditi,1835.7,2026-08-17,placed,ORD1075,1835.7,2026-08-19,success,both,duplicate_payment,1835.7
ORD1079,Vivaan,1820.97,2026-08-02,placed,ORD1079,1820.97,2026-08-25,success,both,late_payment,1820.97
ORD1074,Aarav,1718.15,2026-08-11,placed,ORD1074,1718.15,2026-08-11,success,both,duplicate_payment,1718.15
ORD1080,Diya,1373.83,2026-08-11,placed,ORD1080,1373.83,2026-08-29,success,both,late_payment,1373.83
ORD1065,Aditi,1113.0,2026-08-15,placed,,,,,left_only,missing_payment,1113.0
ORD1078,Diya,858.57,2026-08-04,placed,ORD1078,858.57,2026-08-27,success,both,late_payment,858.57
ORD1073,Priya,809.56,2026-08-02,placed,ORD1073,809.56,2026-08-04,success,both,duplicate_payment,809.56
ORD1077,Neha,720.31,2026-08-03,placed,ORD1077,720.31,2026-08-27,success,both,late_payment,720.31
ORD1063,Karan,490.94,2026-08-11,placed,,,,,left_only,missing_payment,490.94
ORD1076,Neha,359.26,2026-08-17,placed,ORD1076,359.26,2026-08-17,success,both,duplicate_payment,359.26
ORD1068,Karan,2976.46,2026-08-02,placed,ORD1068,2782.04,2026-08-02,success,both,amount_mismatch,194.42000000000007
ORD1067,Neha,1624.13,2026-08-03,placed,ORD1067,1458.69,2026-08-06,success,both,amount_mismatch,165.44000000000005
ORD1069,Diya,4319.13,2026-08-06,placed,ORD1069,4211.71,2026-08-09,success,both,amount_mismatch,107.42000000000007
ORD1071,Priya,1693.41,2026-08-15,placed,ORD1071,1597.27,2026-08-17,success,both,amount_mismatch,96.1400000000001
ORD1070,Rohan,4390.93,2026-08-02,placed,ORD1070,4302.71,2026-08-03,success,both,amount_mismatch,88.22000000000025
ORD1072,Kabir,4979.4,2026-08-18,placed,ORD1072,4931.54,2026-08-21,success,both,amount_mismatch,47.85999999999967
