order_id,customer_name,amount,order_date,status
ORD1064,Diya,4336.03,2026-08-08,placed
ORD1028,Priya,3775.95,2026-08-18,placed
ORD1032,Vivaan,3211.74,2026-08-14,placed
ORD1070,Rohan,4390.93,2026-08-02,placed
ORD1047,Aditi,803.65,2026-08-16,placed
ORD1048,Diya,1472.27,2026-08-20,placed
ORD1054,Diya,540.77,2026-08-21,placed
ORD1075,Aditi,1835.7,2026-08-17,placed
ORD1040,Aditi,3266.96,2026-08-20,placed
ORD1074,Aarav,1718.15,2026-08-11,placed
ORD1035,Karan,3659.46,2026-08-18,placed
ORD1063,Karan,490.94,2026-08-11,placed
ORD1037,Priya,959.16,2026-08-01,placed
ORD1041,Karan,1994.79,2026-08-06,placed
ORD1059,Arjun,2153.89,2026-08-04,placed
ORD1011,Sara,2023.65,2026-08-12,placed
ORD1039,Neha,4580.61,2026-08-21,placed
ORD1003,Sara,3448.16,2026-08-18,placed
ORD1036,Rohan,3276.62,2026-08-04,placed
ORD1034,Arjun,1406.79,2026-08-18,placed
ORD1046,Karan,2532.75,2026-08-03,placed
ORD1016,Vivaan,419.96,2026-08-08,placed
ORD1067,Neha,1624.13,2026-08-03,placed
ORD1057,Sara,1228.34,2026-08-05,placed
ORD1020,Aditi,3310.57,2026-08-20,placed
ORD1062,Vivaan,3336.59,2026-08-21,placed
ORD1078,Diya,858.57,2026-08-04,placed
ORD1068,Karan,2976.46,2026-08-02,placed
ORD1027,Diya,2402.49,2026-08-09,placed
ORD1079,Vivaan,1820.97,2026-08-02,placed
ORD1066,Ishaan,2225.03,2026-08-09,placed
ORD1045,Priya,4414.45,2026-08-03,placed
ORD1043,Neha,2545.31,2026-08-04,placed
ORD1061,Arjun,4346.42,2026-08-02,placed
ORD1080,Diya,1373.83,2026-08-11,placed
ORD1022,Ananya,2021.39,2026-08-21,placed
ORD1071,Priya,1693.41,2026-08-15,placed
ORD1004,Diya,2225.22,2026-08-01,placed
ORD1049,Kabir,4658.78,2026-08-07,placed
ORD1055,Vivaan,523.52,2026-08-02,placed
ORD1044,Diya,4072.52,2026-08-08,placed
ORD1052,Sara,1278.55,2026-08-11,placed
ORD1025,Meera,517.71,2026-08-19,placed
ORD1009,Diya,2228.55,2026-08-09,placed
ORD1018,Meera,2376.37,2026-08-12,placed
ORD1001,Kabir,3269.25,2026-08-01,placed
ORD1072,Kabir,4979.4,2026-08-18,placed
ORD1053,Aarav,2858.82,2026-08-19,placed
ORD1008,Priya,4085.27,2026-08-01,placed
ORD1077,Neha,720.31,2026-08-03,placed
ORD1058,Karan,2965.82,2026-08-08,placed
ORD1014,Neha,1607.26,2026-08-21,placed
ORD1023,Diya,1254.15,2026-08-11,placed
ORD1033,Ananya,2046.88,2026-08-20,placed
ORD1031,Aditi,636.37,2026-08-02,placed
ORD1056,Ishaan,2667.95,2026-08-09,placed
ORD1050,Ishaan,2115.16,2026-08-21,placed
ORD1042,Meera,4627.68,2026-08-01,placed
ORD1060,Ishaan,2269.05,2026-08-14,placed
ORD1024,Kabir,4144.65,2026-08-11,placed
ORD1005,Ananya,1316.77,2026-08-20,placed
ORD1069,Diya,4319.13,2026-08-06,placed
ORD1015,Vivaan,1935.85,2026-08-07,placed
ORD1030,Ishaan,1252.74,2026-08-05,placed
ORD1029,Meera,3006.01,2026-08-19,placed
ORD1012,Ishaan,1469.7,2026-08-02,placed
ORD1019,Arjun,1905.3,2026-08-09,placed
ORD1021,Ishaan,2763.87,2026-08-08,placed
ORD1051,Diya,4518.15,2026-08-15,placed
ORD1026,Arjun,1220.61,2026-08-16,placed
ORD1007,Kabir,2213.7,2026-08-15,placed
ORD1002,Vivaan,1375.48,2026-08-05,placed
ORD1017,Kabir,4305.53,2026-08-04,placed
ORD1065,Aditi,1113.0,2026-08-15,placed
ORD1006,Ananya,1154.42,2026-08-21,placed
ORD1076,Neha,359.26,2026-08-17,placed
ORD1010,Vivaan,4794.62,2026-08-11,placed
ORD1073,Priya,809.56,2026-08-02,placed
ORD1013,Ananya,2773.89,2026-08-13,placed
ORD1038,Ananya,1464.27,2026-08-17,placed
